"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Baseline Perp.","Doppler"
"SS_00232_STD_F2296","SEASAT","","STD","ERS-1,ERS-2,JERS-1,SEASAT,SMAP Standard Beam SAR","232","231","2289","1978-07-13T06:10:20Z","2013-07-09T19:03:29Z","GEOTIFF","1978-07-13T06:10:05Z","1978-07-13T06:10:20Z","65.2221","-153.8137","65.2491","-152.131","65.8748","-154.0792","64.5686","-153.5663","65.1768","-155.4893","NA","DESCENDING","https://datapool.asf.alaska.edu/GEOTIFF/SS/SS_00232_STD_F2296_tif.zip","262.73","-1","0","0","-1"
"SS_00232_STD_F2296","SEASAT","","STD","ERS-1,ERS-2,JERS-1,SEASAT,SMAP Standard Beam SAR","232","231","2289","1978-07-13T06:10:20Z","2013-07-09T19:03:25Z","L1","1978-07-13T06:10:05Z","1978-07-13T06:10:20Z","65.2221","-153.8137","65.2491","-152.131","65.8748","-154.0792","64.5686","-153.5663","65.1768","-155.4893","NA","DESCENDING","https://datapool.asf.alaska.edu/L1/SS/SS_00232_STD_F2296_h5.zip","306.42","-1","0","0","-1"
"SS_00232_STD_F2307","SEASAT","","STD","ERS-1,ERS-2,JERS-1,SEASAT,SMAP Standard Beam SAR","232","231","2300","1978-07-13T06:10:32Z","2013-07-09T18:57:07Z","GEOTIFF","1978-07-13T06:10:17Z","1978-07-13T06:10:32Z","64.6708","-154.9228","64.7116","-153.2726","65.3189","-155.2089","64.0217","-154.6553","64.612","-156.5645","NA","DESCENDING","https://datapool.asf.alaska.edu/GEOTIFF/SS/SS_00232_STD_F2307_tif.zip","262.06","-1","0","0","-1"
"SS_00232_STD_F2307","SEASAT","","STD","ERS-1,ERS-2,JERS-1,SEASAT,SMAP Standard Beam SAR","232","231","2300","1978-07-13T06:10:32Z","2013-07-09T18:57:02Z","L1","1978-07-13T06:10:17Z","1978-07-13T06:10:32Z","64.6708","-154.9228","64.7116","-153.2726","65.3189","-155.2089","64.0217","-154.6553","64.612","-156.5645","NA","DESCENDING","https://datapool.asf.alaska.edu/L1/SS/SS_00232_STD_F2307_h5.zip","300.96","-1","0","0","-1"
"SS_00380_STD_F1251","SEASAT","","STD","ERS-1,ERS-2,JERS-1,SEASAT,SMAP Standard Beam SAR","380","135","1256","1978-07-23T14:11:19Z","2013-08-07T09:23:46Z","GEOTIFF","1978-07-23T14:11:04Z","1978-07-23T14:11:19Z","62.7795","-149.7781","62.1183","-150.0633","62.705","-148.2905","62.8394","-151.2738","63.4394","-149.4765","NA","ASCENDING","https://datapool.asf.alaska.edu/GEOTIFF/SS/SS_00380_STD_F1251_tif.zip","265.23","-1","0","0","-1"
"SS_00380_STD_F1251","SEASAT","","STD","ERS-1,ERS-2,JERS-1,SEASAT,SMAP Standard Beam SAR","380","135","1256","1978-07-23T14:11:19Z","2013-08-07T09:23:30Z","L1","1978-07-23T14:11:04Z","1978-07-23T14:11:19Z","62.7795","-149.7781","62.1183","-150.0633","62.705","-148.2905","62.8394","-151.2738","63.4394","-149.4765","NA","ASCENDING","https://datapool.asf.alaska.edu/L1/SS/SS_00380_STD_F1251_h5.zip","312.44","-1","0","0","-1"
"SS_00380_STD_F1263","SEASAT","","STD","ERS-1,ERS-2,JERS-1,SEASAT,SMAP Standard Beam SAR","380","135","1268","1978-07-23T14:11:31Z","2013-08-07T09:02:08Z","GEOTIFF","1978-07-23T14:11:16Z","1978-07-23T14:11:31Z","63.3768","-150.7857","62.7168","-151.0628","63.3082","-149.2598","63.4301","-152.3193","64.0354","-150.4922","NA","ASCENDING","https://datapool.asf.alaska.edu/GEOTIFF/SS/SS_00380_STD_F1263_tif.zip","264.86","-1","0","0","-1"
"SS_00380_STD_F1263","SEASAT","","STD","ERS-1,ERS-2,JERS-1,SEASAT,SMAP Standard Beam SAR","380","135","1268","1978-07-23T14:11:31Z","2013-08-07T09:02:01Z","L1","1978-07-23T14:11:16Z","1978-07-23T14:11:31Z","63.3768","-150.7857","62.7168","-151.0628","63.3082","-149.2598","63.4301","-152.3193","64.0354","-150.4922","NA","ASCENDING","https://datapool.asf.alaska.edu/L1/SS/SS_00380_STD_F1263_h5.zip","323.36","-1","0","0","-1"
"SS_00380_STD_F1275","SEASAT","","STD","ERS-1,ERS-2,JERS-1,SEASAT,SMAP Standard Beam SAR","380","135","1280","1978-07-23T14:11:44Z","2013-08-07T09:28:39Z","GEOTIFF","1978-07-23T14:11:29Z","1978-07-23T14:11:44Z","63.9774","-151.85","63.3124","-152.1068","63.9218","-150.2943","64.0174","-153.4123","64.6411","-151.5772","NA","ASCENDING","https://datapool.asf.alaska.edu/GEOTIFF/SS/SS_00380_STD_F1275_tif.zip","262.48","-1","0","0","-1"
"SS_00380_STD_F1275","SEASAT","","STD","ERS-1,ERS-2,JERS-1,SEASAT,SMAP Standard Beam SAR","380","135","1280","1978-07-23T14:11:44Z","2013-08-07T09:28:32Z","L1","1978-07-23T14:11:29Z","1978-07-23T14:11:44Z","63.9774","-151.85","63.3124","-152.1068","63.9218","-150.2943","64.0174","-153.4123","64.6411","-151.5772","NA","ASCENDING","https://datapool.asf.alaska.edu/L1/SS/SS_00380_STD_F1275_h5.zip","314.43","-1","0","0","-1"
