"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Baseline Perp.","Doppler"
"S1A_EW_GRDM_1SDH_20181116T180533_20181116T180621_024616_02B429_6D8C","Sentinel-1A","SENTINEL-1 C-SAR","EW","Extended Wide. 400 km swath and 25 m x 100 m spatial resolution (3-looks)","24616","44","950","2018-11-16T18:06:21.000000","2018-11-16T18:05:33.000000","GRD_MD","2018-11-16T18:05:33.000000","2018-11-16T18:06:21.000000","-66.5161","28.5071","-68.731819","26.251167","-66.67202","34.438235999999996","-66.145645","22.702009","-64.269035","30.380454999999998","NA","ASCENDING","https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20181116T180533_20181116T180621_024616_02B429_6D8C.zip","182.12517166137695","NA","NA","NA","0"
"S1A_EW_GRDM_1SDH_20181116T180533_20181116T180621_024616_02B429_6D8C","Sentinel-1A","SENTINEL-1 C-SAR","EW","Extended Wide. 400 km swath and 25 m x 100 m spatial resolution (3-looks)","24616","44","950","2018-11-16T18:06:21.000000","2018-11-16T18:05:33.000000","METADATA_GRD_MD","2018-11-16T18:05:33.000000","2018-11-16T18:06:21.000000","-66.5161","28.5071","-68.731819","26.251167","-66.67202","34.438235999999996","-66.145645","22.702009","-64.269035","30.380454999999998","NA","ASCENDING","https://datapool.asf.alaska.edu/METADATA_GRD_MD/SA/S1A_EW_GRDM_1SDH_20181116T180533_20181116T180621_024616_02B429_6D8C.iso.xml","0.05633258819580078","NA","NA","NA","0"
"S1A_EW_GRDM_1SDH_20181116T180429_20181116T180533_024616_02B429_1306","Sentinel-1A","SENTINEL-1 C-SAR","EW","Extended Wide. 400 km swath and 25 m x 100 m spatial resolution (3-looks)","24616","44","937","2018-11-16T18:05:33.000000","2018-11-16T18:04:29.000000","GRD_MD","2018-11-16T18:04:29.000000","2018-11-16T18:05:33.000000","-69.3617","33.6388","-72.040764","32.589233","-69.669113","41.359684","-68.73214","26.251656","-66.671875","34.440231","NA","ASCENDING","https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20181116T180429_20181116T180533_024616_02B429_1306.zip","280.09987449645996","NA","NA","NA","0"
"S1A_EW_GRDM_1SDH_20181116T180429_20181116T180533_024616_02B429_1306","Sentinel-1A","SENTINEL-1 C-SAR","EW","Extended Wide. 400 km swath and 25 m x 100 m spatial resolution (3-looks)","24616","44","937","2018-11-16T18:05:33.000000","2018-11-16T18:04:29.000000","METADATA_GRD_MD","2018-11-16T18:04:29.000000","2018-11-16T18:05:33.000000","-69.3617","33.6388","-72.040764","32.589233","-69.669113","41.359684","-68.73214","26.251656","-66.671875","34.440231","NA","ASCENDING","https://datapool.asf.alaska.edu/METADATA_GRD_MD/SA/S1A_EW_GRDM_1SDH_20181116T180429_20181116T180533_024616_02B429_1306.iso.xml","0.05633354187011719","NA","NA","NA","0"
"S1A_IW_GRDH_1SDV_20181116T174844_20181116T174910_024616_02B428_52CB","Sentinel-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","24616","44","748","2018-11-16T17:49:10.000000","2018-11-16T17:48:44.000000","GRD_HD","2018-11-16T17:48:44.000000","2018-11-16T17:49:10.000000","-46.7123","167.7083","-46.333847","169.630829","-45.586765","166.532715","-47.824481999999996","168.93454","-47.058842","165.759964","NA","DESCENDING","https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20181116T174844_20181116T174910_024616_02B428_52CB.zip","842.5790243148804","NA","NA","NA","0"
"S1A_IW_GRDH_1SDV_20181116T174844_20181116T174910_024616_02B428_52CB","Sentinel-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","24616","44","748","2018-11-16T17:49:10.000000","2018-11-16T17:48:44.000000","METADATA_GRD_HD","2018-11-16T17:48:44.000000","2018-11-16T17:49:10.000000","-46.7123","167.7083","-46.333847","169.630829","-45.586765","166.532715","-47.824481999999996","168.93454","-47.058842","165.759964","NA","DESCENDING","https://datapool.asf.alaska.edu/METADATA_GRD_HD/SA/S1A_IW_GRDH_1SDV_20181116T174844_20181116T174910_024616_02B428_52CB.iso.xml","0.05634117126464844","NA","NA","NA","0"
"S1A_IW_SLC__1SDV_20181116T174844_20181116T174910_024616_02B428_AEEC","Sentinel-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","24616","44","748","2018-11-16T17:49:10.000000","2018-11-16T17:48:44.000000","SLC","2018-11-16T17:48:44.000000","2018-11-16T17:49:10.000000","-46.6952","167.7252","-46.295722999999995","169.654373","-45.552036","166.568802","-47.825451","168.93521099999998","-47.061234","165.76599099999999","NA","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20181116T174844_20181116T174910_024616_02B428_AEEC.zip","3694.7675352096558","NA","NA","NA","0"
"S1A_IW_OCN__2SDV_20181116T174844_20181116T174910_024616_02B428_F3F8","Sentinel-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","24616","44","748","2018-11-16T17:49:10.000000","2018-11-16T17:48:44.000000","OCN","2018-11-16T17:48:44.000000","2018-11-16T17:49:10.000000","-46.7123","167.7081","-46.333842999999995","169.630829","-45.586639","166.53222699999998","-47.824481999999996","168.93454","-47.058712","165.759476","NA","DESCENDING","https://datapool.asf.alaska.edu/OCN/SA/S1A_IW_OCN__2SDV_20181116T174844_20181116T174910_024616_02B428_F3F8.zip","6.04827880859375","NA","NA","NA","0"
"S1A_IW_SLC__1SDV_20181116T174844_20181116T174910_024616_02B428_AEEC","Sentinel-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","24616","44","748","2018-11-16T17:49:10.000000","2018-11-16T17:48:44.000000","METADATA_SLC","2018-11-16T17:48:44.000000","2018-11-16T17:49:10.000000","-46.6952","167.7252","-46.295722999999995","169.654373","-45.552036","166.568802","-47.825451","168.93521099999998","-47.061234","165.76599099999999","NA","DESCENDING","https://datapool.asf.alaska.edu/METADATA_SLC/SA/S1A_IW_SLC__1SDV_20181116T174844_20181116T174910_024616_02B428_AEEC.iso.xml","0.06496143341064453","NA","NA","NA","0"
"S1A_IW_OCN__2SDV_20181116T174844_20181116T174910_024616_02B428_F3F8","Sentinel-1A","SENTINEL-1 C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","24616","44","748","2018-11-16T17:49:10.000000","2018-11-16T17:48:44.000000","METADATA_OCN","2018-11-16T17:48:44.000000","2018-11-16T17:49:10.000000","-46.7123","167.7081","-46.333842999999995","169.630829","-45.586639","166.53222699999998","-47.824481999999996","168.93454","-47.058712","165.759476","NA","DESCENDING","https://datapool.asf.alaska.edu/METADATA_OCN/SA/S1A_IW_OCN__2SDV_20181116T174844_20181116T174910_024616_02B428_F3F8.iso.xml","0.04209423065185547","NA","NA","NA","0"
